Macrocategoria,Categoria_specifica,Valori_2024,Fonte_dato,Sistema_esterno
ESRS S3 — Comunità impattate,Reclami comunità (n.),0,Automate,
ESRS S3 — Comunità impattate,Investimenti comunitari (€),€174.963,SAP,
ESRS S4 — Consumatori e utenti finali,Richiami di prodotto (n.),1,Automate,
ESRS S4 — Consumatori e utenti finali,Incidenti di sicurezza prodotto (n.),2,Automate,
ESRS S4 — Consumatori e utenti finali,Manuali e schede aggiornate (%),99.7%,Bleen,
ESRS S4 — Consumatori e utenti finali,MTTR gestione reclami (giorni),6 giorni,SAP,
ESRS S4 — Consumatori e utenti finali,Reclami clienti (n.),52,SAP,
ESRS S4 — Consumatori e utenti finali,Conformità PED/ATEX (tasso %),99.1%,Sistemi esterni,Ente notificato (TÜV/DNV)
ESRS E2 — Inquinamento,"Incidenti/sversamenti (n., volume) — Fonderia",3 minori; 0 permanenti,Automate,
ESRS E2 — Inquinamento,Sostanze SVHC presenti (n.) — Fonderia,3 sostanze; piani di sostituzione attivi,Automate,
ESRS S1 — Forza lavoro propria,Ore formazione pro capite — Officina meccanica,41.8 ore/FTE,SAP,
ESRS E3 — Risorse idriche e marine,Ricircolo/riutilizzo acqua (%) — Assemblaggio/Collaudo,39.9%,Pulse,
ESRS E3 — Risorse idriche e marine,Intensità idrica (m³/pezzo) — Lavorazioni meccaniche,0.22 m³/pezzo,Pulse,
ESRS E2 — Inquinamento,Sostanze SVHC presenti (n.) — Assemblaggio/Collaudo,3 sostanze; piani di sostituzione attivi,Automate,
ESRS S1 — Forza lavoro propria,Gender balance (% donne) — Assemblaggio,28.0%,SAP,
ESRS S1 — Forza lavoro propria,Gender pay gap (%) — Uffici,2.8%,SAP,
ESRS G1 — Condotta d’impresa,Conflitti di interesse dichiarati (n.),2,Automate,
ESRS S2 — Lavoratori nella catena del valore,Tempo medio chiusura NC (giorni),44 giorni,Automate,
ESRS E3 — Risorse idriche e marine,Consumo idrico (m³) — Verniciatura,9.043 m³,Pulse,
ESRS S1 — Forza lavoro propria,Near-miss (n.) — Magazzino,17,MES,
ESRS S1 — Forza lavoro propria,Gender pay gap (%) — Magazzino,6.1%,SAP,
ESRS S3 — Comunità impattate,Investimenti comunitari (€),€174.963,SAP,
ESRS E3 — Risorse idriche e marine,Qualità scarichi: pH — Fonderia,"Media 7,3; range 6,9–7,8",Sistemi esterni,ARPA / Laboratorio accreditato
ESRS S4 — Consumatori e utenti finali,Conformità PED/ATEX (tasso %),99.1%,Sistemi esterni,Ente notificato (TÜV/DNV)
ESRS E2 — Inquinamento,VOC da verniciatura (t/anno) — Lavorazioni meccaniche,13 t/anno; carbone attivo,Sistemi esterni,ARPA / Laboratorio accreditato
ESRS E3 — Risorse idriche e marine,Scarichi totali (m³) — Assemblaggio/Collaudo,12.437 m³,Sistemi esterni,ARPA / Laboratorio accreditato
ESRS E3 — Risorse idriche e marine,Scarichi totali (m³) — Fonderia,9.020 m³,Sistemi esterni,ARPA / Laboratorio accreditato
